Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri Pinaki Misra,Biju Janata Dal,Puri (Odisha)
Shri Narendra Damodardas Modi,Bharatiya Janata Party,Varanasi (Uttar Pradesh)
Shri Faizal P.P. Mohammed,Nationalist Congress Party,Lakshadweep (ST)(Lakshadweep)
Shri P. C. Mohan,Bharatiya Janata Party,Bangalore Central (Karnataka)
Shri Anubhav Mohanty,Biju Janata Dal,Kendrapara (Odisha)
Smt. Mahua Moitra,All India Trinamool Congress,Krishnanagar (West Bengal)
Smt. Pratima Mondal,All India Trinamool Congress,Jaynagar (SC)(West Bengal)
Shri Sunil Kumar Mondal,All India Trinamool Congress,Bardhaman Purba (SC)(West Bengal)
Shri Arjun Munda,Bharatiya Janata Party,Khunti (ST)(Jharkhand)
Dr. Pritam Gopinath Rao Munde,Bharatiya Janata Party,Beed (Maharashtra)
Shri S. Muniswamy,Bharatiya Janata Party,Kolar (SC)(Karnataka)
Dr. Mahendrabhai Kalubhai Munjpara,Bharatiya Janata Party,Surendranagar (Gujarat)
Shri K. Muraleedharan,Indian National Congress,Vadakara (Kerala)
Ms. Chandrani Murmu,Biju Janata Dal,Keonjhar (ST)(Odisha)
Shri Khagen Murmu,Bharatiya Janata Party,Maldaha Uttar (West Bengal)
Shri Malook Nagar,Bahujan Samaj Party,Bijnor (Uttar Pradesh)
Shri Rodmal Nagar,Bharatiya Janata Party,Rajgarh (Madhya Pradesh)
Shri Raja Amareshwara Naik,Bharatiya Janata Party,Raichur (ST)(Karnataka)
Shri Shripad Yesso Naik,Bharatiya Janata Party,North Goa (Goa)
Shri Ranjeetsingh Naik Nimbalkar,Bharatiya Janata Party,Madha (Maharashtra)
Shri Reddeppa Nallakonda Gari,Yuvajana Sramika Rythu Congress Party,Chittoor (SC)(Andhra Pradesh)
Shri Jamyang Tsering Namgyal,Bharatiya Janata Party,Ladakh (Jammu and Kashmir)
